Player,Minutes Played,Progressive Passes per 90,Progressive Carries per 90,Assists per 90,Goals per 90,Key Passes per 90,CDR
Kevin De Bruyne,2791.0,9.029021855965604,4.482264421354353,0.64,0.42,4.387096774193548,3.8136766103027013
Rodri,2486.0,8.39903459372486,1.4843121480289623,0.07,0.11,1.2318840579710144,2.2550461599449676
Bernardo Silva,2030.0,5.4088669950738915,5.187192118226601,0.31,0.27,2.2566371681415927,2.6905392562884174
David Silva,1826.0,10.005476451259584,4.041621029572837,0.49,0.3,2.3645320197044333,3.4593259001073706
İlkay Gündoğan,2020.0,9.0,1.7376237623762376,0.04,0.09,1.4732142857142858,2.4631676096181048
Riyad Mahrez,1944.0,5.555555555555555,5.462962962962963,0.42,0.51,2.7777777777777777,2.936259259259259
Phil Foden,901.0,4.894561598224196,3.596004439511654,0.2,0.5,1.8,2.16811320754717
Tommy Doyle,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Palmer,0.0,0.0,0.0,0.0,0.0,,
