Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Euclidean Distance
Arne Maier,MF,-0.1507203236256067,1.221453051521359,-0.2942358513470261,0.3468412860203074,0.09729260630794402,0.5652130351125209,2.084143587256249,Germany,24.0,4.0,0.78425,3.9507558317165614,2.1790259109493615
Ivan Rakitić,MF,0.3150102991546105,1.7484868504370206,-0.29837776718907416,0.8717468420146334,-0.054182917739646744,-0.1560075848545907,2.5586215856095933,Spain,35.0,3.0,0.8173900000000001,5.367451530646235,2.220394110433207
David Brooks,"FW,MF",-0.9464354397974944,1.2743825542886718,0.1476174639541841,0.5678725341652353,0.5214240736411984,0.4690502857835727,2.4951928620452986,England,26.0,1.0,0.99232,4.469955360329444,2.2210691003440473
Joshua Kimmich,"MF,DF",1.1438342273724853,1.6336907656363624,0.045721027968119415,1.2059250051977797,-0.3268388610253102,0.30076547445791335,3.0315780870199327,Germany,28.0,4.0,0.78425,4.966588256562956,2.2236857566354624
Florian Wirtz,MF,1.3601451327396004,1.4424036519937715,1.3010361897003053,0.9818998722184111,0.8243751217363797,0.7094571591059432,3.468079206908887,Germany,20.0,4.0,0.78425,4.450313984490776,2.235663654021846
Jonathan Viera,"MF,FW",-0.25115038683176727,1.167948228071793,0.5348663996740225,0.5698075463140473,-0.44801928026338284,0.42096891111909857,2.615648360030511,Spain,33.0,3.0,0.8173900000000001,5.204518934019832,2.2440616310736297
Jonathan Viera,"MF,FW",-0.25115038683176727,1.167948228071793,0.5348663996740225,0.5698075463140473,-0.44801928026338284,0.42096891111909857,2.615648360030511,Spain,33.0,3.0,0.8173900000000001,5.204518934019832,2.2440616310736297
Saïd Benrahma,"FW,MF",-0.4078654305161058,1.3597775369510514,1.3614546631755022,-0.0606696718246362,0.6123093880697527,0.5411723477802838,2.5450135910601026,France,27.0,5.0,0.6495000000000001,4.516633834189067,2.251945414584287
Saïd Benrahma,"FW,MF",-0.4078654305161058,1.3597775369510514,1.3614546631755022,-0.0606696718246362,0.6123093880697527,0.5411723477802838,2.5450135910601026,England,27.0,1.0,0.99232,4.602338834189067,2.251945414584287
Alex Baena,"MF,FW",1.5885959358569106,1.5579057984675153,0.3102017380752621,0.35036036201912235,-0.23595354659675571,0.8777419704316026,2.4702801128925267,Spain,22.0,3.0,0.8173900000000001,4.010029573380143,2.269477424101349
Alexis Sánchez,"FW,MF",-0.4155908199935027,0.8527523622445847,-0.13866520280177977,0.46408183009935083,0.279063235165053,1.118148843753973,2.2523144707424256,Italy,34.0,2.0,0.87481,5.082706905982577,2.270499110614354
Andrej Kramarić,"MF,FW",1.1692176499410751,1.8354135912030187,0.2992378411943997,0.1458498163181137,1.399982113117225,0.30076547445791335,2.3305966497439226,Germany,32.0,4.0,0.78425,4.91095032233355,2.2831583107947666
Suso,"MF,FW",0.41654398942897064,1.187471684360096,0.0957012707196464,0.5273023321842819,-0.2662486514062739,0.2767247871256763,2.366735553275892,Spain,29.0,3.0,0.8173900000000001,4.642725609629331,2.2862639784059633
Hugo González,"MF,FW",-1.16164271809641,2.566921011866446,-0.06055879857248414,-0.4995869264102981,-0.44801928026338284,2.175939086372404,1.936586206896552,Spain,20.0,3.0,0.8173900000000001,3.4631285344827587,2.2940110942318745
Nabil Fekir,"MF,FW",-0.09995347848842663,1.2593180035010523,0.23028178797681992,0.34812229842839604,-0.17536333697771941,0.10843997580001695,2.2715812373200364,Spain,30.0,3.0,0.8173900000000001,4.680875304258024,2.3023927397377397
Kjell-Arik Wätjen,"MF,FW",-1.1417774308688178,1.2009428691990256,0.15545786864674677,0.6035873298261608,-0.44801928026338284,1.7672474017243738,2.6437142857142857,Germany,17.0,4.0,0.78425,3.614476785714286,2.3269758742263997
Amine Adli,"MF,FW",-0.26660116578656123,0.8366820311543802,0.42875446963405406,-0.07572371149968143,0.7637849121173438,1.1421895310862102,2.063162583518931,Germany,23.0,4.0,0.78425,3.837118179287305,2.3425143516128273
Michael Olise,"FW,MF",0.14946623892467548,1.2330080838156319,1.1135553220779246,0.2922630625977744,1.7029331612124066,0.7094571591059432,2.765218724109362,England,21.0,1.0,0.99232,4.145472170671086,2.3706761369029277
Luis Alberto,MF,1.2928238815794266,1.192084385783543,0.43960553399547364,0.9259159288004541,0.12758771111746223,0.3488468491223875,2.895761095218773,Italy,30.0,2.0,0.87481,5.100947211892203,2.37861491793218
Gianluca Gaetano,MF,-0.43545610722109496,1.4539017845078068,-0.0671254323568825,0.16488612485417592,1.006145750593489,-0.01176346086116837,2.04089783743475,Italy,23.0,2.0,0.87481,3.845286094332588,2.4019752353864052
Gianluca Gaetano,MF,-0.43545610722109496,1.4539017845078068,-0.0671254323568825,0.16488612485417592,1.006145750593489,-0.01176346086116837,2.04089783743475,Italy,23.0,2.0,0.87481,3.845286094332588,2.4019752353864052
Ademola Lookman,"FW,MF",0.8326113941402074,1.092531905495262,0.5208439090869532,0.08569284369364277,1.1273261698315618,0.4930909731158098,2.233315080203148,Italy,25.0,2.0,0.87481,4.170357302132047,2.4214680495264127
Paulo Dybala,"FW,MF",0.9043471535731792,1.0129642257126834,0.610297394777934,0.31507638345293715,1.3696870083077068,0.6854164717737061,2.4885762395155737,Italy,29.0,2.0,0.87481,4.736277055685124,2.4493320737199844
Pedri,"MF,FW",0.3712952796327884,0.9788326020986322,0.12474961693420913,0.9343292251767886,0.279063235165053,-0.01176346086116837,2.669756097560976,Spain,20.0,3.0,0.8173900000000001,3.9396889634146346,2.468107425332049
Charles De Ketelaere,"FW,MF",0.9782901671425501,0.9075105274408388,0.7305782551129523,0.3133105114371529,0.8849653313554161,0.5652130351125209,2.488838872436109,Italy,22.0,2.0,0.87481,4.036447767083471,2.4682548267330944
Rayan Cherki,"MF,FW",0.6394766572052831,0.9267936782622835,1.143266761431207,0.6883700969818165,-0.29654375621579204,0.44500959845133564,2.956638743455497,France,19.0,5.0,0.6495000000000001,3.984190183246073,2.4714189965185183
Jóhann Berg Guðmundsson,"MF,FW",0.05786519226411142,1.338920459367452,-0.5280583515185648,0.05007497113605465,-0.20565844178723755,0.25268409979343925,1.6945513524506812,England,32.0,1.0,0.99232,4.549538379092943,2.4789347343530017
Xavi Simons,MF,1.6702643389036786,1.3630080725663465,1.2522042939261955,0.4853066671204603,0.36994854959360757,0.5892537224447579,2.9668461415602425,Germany,20.0,4.0,0.78425,4.124512492014158,2.503189862305783
Gianluca Caprari,"MF,FW",-0.9431245585928957,2.054679208366163,0.543351574489329,0.1150796913432846,-0.44801928026338284,-0.300251708848013,2.329605263157895,Italy,30.0,2.0,0.87481,4.732945921052632,2.5113003846855233
