Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR
Ayanda Sishuba,"MF,FW",62.0,1.4285714285714286,10.161290322580646,1.4516129032258065,0.0,0.0,2.6082949308755765
Sebastian Rode,MF,61.0,1.4285714285714286,4.426229508196721,16.229508196721312,0.0,0.0,4.416861826697892
Aïman Maurer,"MF,FW",56.0,0.0,1.6071428571428572,3.2142857142857144,0.0,0.0,0.9642857142857144
Adrien Lebeau,"MF,FW",54.0,6.666666666666667,1.6666666666666667,0.0,0.0,1.67,2.167666666666667
Anwar El Ghazi,"MF,DF",54.0,3.3333333333333335,3.3333333333333335,6.666666666666667,0.0,1.67,3.1676666666666664
Irvin Cardona,"MF,DF",54.0,0.0,5.0,3.3333333333333335,0.0,0.0,1.6666666666666667
Ole Pohlmann,MF,54.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.33333333333333337
Paul Pogba,MF,54.0,1.6666666666666667,1.6666666666666667,8.333333333333334,0.0,0.0,2.333333333333334
Álvaro Negredo,"FW,MF",54.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.33333333333333337
Sergio Gómez,"FW,MF",53.0,1.6666666666666667,6.792452830188679,3.3962264150943393,0.0,1.7,2.8810691823899375
Valentin Rosier,"DF,MF",53.0,3.3333333333333335,5.09433962264151,8.49056603773585,0.0,0.0,3.383647798742139
Dylan Bronn,"DF,MF",52.0,0.0,1.7307692307692308,1.7307692307692308,0.0,0.0,0.6923076923076924
Riccardo Pagano,"MF,DF",51.0,1.6666666666666667,1.7647058823529411,5.294117647058823,0.0,0.0,1.7450980392156863
Elayis Tavsan,"MF,FW",50.0,0.0,3.5999999999999996,3.5999999999999996,0.0,0.0,1.44
Grant Ranos,"MF,FW",49.0,0.0,0.0,5.510204081632653,0.0,0.0,1.1020408163265307
Bambasé Conté,"MF,FW",48.0,2.0,5.625,3.75,0.0,0.0,2.275
Darko Brašanac,MF,48.0,2.0,3.75,1.875,0.0,0.0,1.525
Ethan Mbappé,"MF,DF",48.0,0.0,1.875,1.875,0.0,0.0,0.75
Christopher Lenz,"DF,MF",47.0,2.0,1.9148936170212765,3.829787234042553,0.0,0.0,1.548936170212766
Gustavo Puerta,"DF,MF",46.0,2.0,1.956521739130435,15.65217391304348,0.0,0.0,3.921739130434783
Stefano Sensi,MF,46.0,6.0,5.869565217391305,5.869565217391305,0.0,1.96,4.135826086956522
Simon Zoller,"FW,MF",45.0,0.0,0.0,0.0,0.0,0.0,0.0
Saïmon Bouabré,MF,45.0,0.0,4.0,6.0,0.0,0.0,2.0
Oscar Cortés,"FW,MF",44.0,2.0,2.0454545454545454,4.090909090909091,2.05,2.05,2.4472727272727273
Yerry Mina,"DF,MF",44.0,0.0,0.0,4.090909090909091,0.0,0.0,0.8181818181818182
Marciano Tchami,"FW,MF",43.0,2.0,2.093023255813953,2.093023255813953,0.0,0.0,1.2372093023255815
Papu Gómez,"MF,FW",41.0,2.0,4.390243902439025,6.585365853658537,0.0,0.0,2.5951219512195123
Kingstone Mutandwa,"FW,MF",39.0,0.0,2.3076923076923075,0.0,2.31,0.0,0.6925384615384615
Ignacio Miramon,MF,39.0,0.0,2.3076923076923075,6.9230769230769225,0.0,0.0,1.846153846153846
Shiō Fukuda,"FW,MF",36.0,2.5,0.0,0.0,0.0,0.0,0.5
El Chadaille Bitshiabu,"DF,MF",34.0,0.0,5.294117647058823,2.6470588235294117,0.0,0.0,1.5882352941176472
Filip Jagiełło,MF,33.0,0.0,2.7272727272727275,5.454545454545455,0.0,0.0,1.6363636363636367
Roméo Lavia,MF,33.0,0.0,0.0,2.7272727272727275,0.0,0.0,0.5454545454545455
Yaya Kader Fofana,"MF,DF",32.0,0.0,2.8125,8.4375,0.0,0.0,2.25
Luca Raimund,"FW,MF",30.0,0.0,0.0,3.0,0.0,0.0,0.6000000000000001
Mohamed Bouchenna,"MF,FW",29.0,3.3333333333333335,0.0,3.103448275862069,0.0,0.0,1.2873563218390807
Aljoscha Kemlein,MF,29.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Dadie,MF,28.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Zeroli,MF,28.0,0.0,0.0,3.2142857142857144,0.0,0.0,0.6428571428571429
Salvi,MF,28.0,0.0,6.428571428571429,0.0,0.0,0.0,1.2857142857142858
Elias Baum,"DF,MF",28.0,0.0,0.0,0.0,0.0,0.0,0.0
Cher Ndour,MF,28.0,0.0,0.0,6.428571428571429,0.0,0.0,1.2857142857142858
Jovan Milošević,"FW,MF",28.0,0.0,3.2142857142857144,3.2142857142857144,0.0,0.0,1.2857142857142858
Zanos Savva,"DF,MF",28.0,0.0,0.0,3.2142857142857144,3.21,0.0,0.963857142857143
Mohamed Elneny,MF,28.0,0.0,3.2142857142857144,3.2142857142857144,0.0,0.0,1.2857142857142858
Genki Haraguchi,MF,27.0,0.0,3.3333333333333335,10.0,0.0,0.0,2.666666666666667
Jack Cork,MF,27.0,0.0,13.333333333333334,13.333333333333334,0.0,0.0,5.333333333333334
Tony Jantschke,"DF,MF",27.0,0.0,0.0,6.666666666666667,0.0,0.0,1.3333333333333335
Isak Hansen-Aarøen,MF,27.0,3.3333333333333335,6.666666666666667,6.666666666666667,0.0,0.0,3.333333333333334
Stefan Bajcetic,MF,26.0,0.0,0.0,3.4615384615384617,0.0,0.0,0.6923076923076924
Raimane Daou,"DF,MF",25.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlys,MF,25.0,6.666666666666667,0.0,3.5999999999999996,0.0,0.0,2.0533333333333337
Philippe Coutinho,"MF,FW",25.0,0.0,18.0,18.0,0.0,0.0,7.2
Joseph Nonge,MF,24.0,0.0,3.75,7.5,0.0,0.0,2.25
Andres Sfait,"DF,MF",23.0,3.3333333333333335,3.91304347826087,3.91304347826087,0.0,0.0,2.2318840579710146
