Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore
Braydon Manu,MF,171.0,1.5789473684210529,2.631578947368421,0.5263157894736842,0.0,0.0,0.9473684210526316,Germany,26,4,0.78425,3.4118519736842106
José Campaña,MF,171.0,0.0,0.5263157894736842,7.894736842105264,0.0,0.0,1.6842105263157898,Spain,30,3,0.8173900000000001,4.299084342105264
Justin Diehl,"FW,MF",168.0,2.631578947368421,3.2142857142857144,1.0714285714285714,0.0,0.0,1.3834586466165415,Germany,18,4,0.78425,2.895310620300752
Cristian Herrera,"FW,MF",166.0,0.5555555555555556,1.0843373493975903,4.337349397590361,0.54,0.0,1.2494484605087015,Spain,32,3,0.8173900000000001,4.2164889993306565
Pablo Pagis,MF,165.0,0.0,0.5454545454545455,2.7272727272727275,0.0,0.0,0.6545454545454547,France,20,5,0.6495000000000001,2.5878295454545457
Fabio Carvalho,MF,165.0,1.1111111111111112,4.363636363636364,4.909090909090909,0.0,0.0,2.0767676767676773,Germany,20,4,0.78425,3.5459614898989904
Tim Iroegbunam,MF,164.0,0.0,1.6463414634146345,0.5487804878048781,0.0,0.0,0.4390243902439025,England,20,1,0.99232,2.5334458536585367
Thomas Lemar,MF,164.0,0.5555555555555556,2.7439024390243905,7.134146341463415,0.0,0.0,2.086720867208672,Spain,27,3,0.8173900000000001,4.260716063685637
Fabrizio Angileri,"DF,MF",164.0,2.2222222222222223,1.0975609756097562,3.841463414634146,0.0,0.0,1.432249322493225,Spain,29,3,0.8173900000000001,4.035309559620597
Lovro Zvonarek,"FW,MF",163.0,1.1111111111111112,3.8650306748466257,3.8650306748466257,0.55,0.0,1.8232344921608723,Germany,18,4,0.78425,3.181164919904567
Edan Diop,"MF,DF",163.0,0.0,2.208588957055215,3.8650306748466257,0.0,0.0,1.2147239263803682,France,18,5,0.6495000000000001,2.7519455521472396
Arthur Vermeeren,MF,162.0,1.1111111111111112,1.1111111111111112,3.888888888888889,0.0,0.0,1.2222222222222223,Spain,18,3,0.8173900000000001,2.7987919444444445
Víctor Díaz,"DF,MF",162.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.2222222222222222,Spain,35,3,0.8173900000000001,3.8487919444444443
Njegoš Petrović,"MF,FW",157.0,1.1764705882352942,1.7197452229299364,4.585987261146497,0.0,0.0,1.4964406144623457,Spain,24,3,0.8173900000000001,3.577033899400525
Urko González,MF,156.0,0.0,0.5769230769230769,3.461538461538461,0.0,0.0,0.8076923076923077,Spain,22,3,0.8173900000000001,2.9293475000000004
Marco Mancosu,"MF,FW",156.0,1.1764705882352942,2.3076923076923075,4.615384615384615,0.0,0.0,1.6199095022624437,Italy,34,2,0.87481,4.671643676470589
