Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Correlation with Target
Ilhan Fakili,"MF,FW",0.02817328082399273,0.1,0.042553191489361694,0.0425531914893617,0.0,0.0,1.348936170212766,France,17,5,0.6495000000000001,2.739183510638298,-0.09622289245322845
Nelson Weiper,"FW,MF",0.037261435928506614,0.14285714285714285,0.09677419354838708,0.016129032258064512,0.0,0.0,1.447004608294931,Germany,18,4,0.78425,2.936615495391705,-0.09622552581592939
Bilal Nadir,"MF,FW",0.03392911239018481,0.15384615384615383,0.05309734513274336,0.035398230088495575,0.0,0.0,1.4227365554799185,France,19,5,0.6495000000000001,2.987153761061947,-0.10340097571074525
Chris Bedia,"FW,MF",0.043623144501666156,0.1875,0.013793103448275862,0.006896551724137931,0.10333333333333332,0.0,0.6852758620689655,Germany,27,4,0.78425,3.341491810344828,-0.10433274813462964
Ole Pohlmann,MF,0.01605574068464105,0.16666666666666669,0.0,0.0,0.0,0.0,0.3333333333333333,Germany,22,4,0.78425,2.612729166666667,-0.10495535653490508
Álvaro Negredo,"FW,MF",0.01605574068464105,0.16666666666666669,0.0,0.0,0.0,0.0,0.3333333333333333,Spain,37,3,0.8173900000000001,4.121014166666667,-0.10495535653490508
Marcus Müller,MF,0.005149954559224457,0.0,0.0,0.05555555555555556,0.0,0.0,1.0,Germany,20,4,0.78425,2.8460625,-0.10657447388435938
Sofiane Sidi Ali,MF,0.005149954559224457,0.0,0.0,0.05555555555555556,0.0,0.0,1.0,France,28,5,0.6495000000000001,3.612375,-0.10657447388435938
Mamadou Sylla,"FW,MF",0.005149954559224457,0.0,0.0,0.05555555555555556,0.0,0.0,1.0,Spain,29,3,0.8173900000000001,3.7543475000000006,-0.10657447388435938
Elayis Tavsan,"MF,FW",0.0148439866707058,0.0,0.07999999999999999,0.04,0.0,0.0,1.44,Italy,22,2,0.87481,3.3547025,-0.11457659847777281
Matt Ritchie,"FW,MF",0.0384731899424417,0.0,0.07812499999999999,0.0625,0.11666666666666664,0.0,1.898125,England,33,1,0.99232,4.78186125,-0.11560794269105412
Florian Dietz,"FW,MF",0.020902756740381723,0.24999999999999997,0.0,0.0,0.0,0.0,0.5,Germany,24,4,0.78425,2.921062500000001,-0.11769939823162288
Alberto Risco,MF,0.04119963647379582,0.2666666666666666,0.043795620437956186,0.043795620437956206,0.0,0.0,1.7158150851581508,Spain,17,3,0.8173900000000001,3.0196273053527984,-0.11962564452989179
Irvin Cardona,"MF,DF",0.01605574068464105,0.0,0.11111111111111108,0.037037037037037035,0.0,0.0,1.6666666666666667,Germany,25,4,0.78425,3.7793958333333335,-0.12616268836064673
Karamoko Dembélé,"MF,FW",0.004544077552256887,0.0,0.0,0.0625,0.0,0.0,1.125,France,20,5,0.6495000000000001,2.893625,-0.1265542133940881
Salvi,MF,0.008179339594062418,0.0,0.14285714285714285,0.0,0.0,0.0,1.2857142857142858,Spain,32,3,0.8173900000000001,4.2400617857142855,-0.14386535203261513
Nathan Redmond,"FW,MF",0.0427143289912148,0.1875,0.09859154929577463,0.05633802816901409,0.0,0.0,2.276408450704225,England,29,1,0.99232,4.627745492957747,-0.14716371662876881
Pablo Saenz,MF,0.005452893062708242,0.0,0.0,0.10526315789473686,0.0,0.0,1.894736842105263,Spain,22,3,0.8173900000000001,3.635926447368421,-0.14727637211502348
John Fleck,"MF,DF",0.027567403817025105,0.19999999999999998,0.043478260869565216,0.03260869565217391,0.0,0.0,1.3782608695652177,England,31,1,0.99232,4.243949565217392,-0.14917231141375298
Gonzalo García,"FW,MF",0.005452893062708242,0.0,0.10526315789473681,0.0,0.0,0.0,0.9473684210526316,Spain,19,3,0.8173900000000001,2.7201369736842107,-0.14925181504103757
Karlo Lulić,MF,0.005452893062708242,0.0,0.10526315789473681,0.0,0.0,0.0,0.9473684210526316,Italy,27,2,0.87481,3.53449197368421,-0.14925181504103757
Domingos Quina,MF,0.0036352620418055315,0.0,0.0,0.07692307692307693,0.0,0.0,1.3846153846153848,Italy,23,2,0.87481,3.4187025,-0.151756344953125
Yanis Issoufou,MF,0.0036352620418055315,0.0,0.0,0.07692307692307693,0.0,0.0,1.3846153846153848,France,16,5,0.6495000000000001,2.662375,-0.151756344953125
Yvandro Borges Sanches,"MF,FW",0.005149954559224457,0.0,0.11111111111111108,0.0,0.0,0.0,1.0,Germany,19,4,0.78425,2.7460625000000003,-0.1546250054610246
Sanjin Prcić,MF,0.026355649803089964,0.29999999999999993,0.0,0.05681818181818182,0.0,0.0,1.622727272727273,France,29,5,0.6495000000000001,4.117147727272728,-0.15519235287260266
Shiō Fukuda,"FW,MF",0.010602847621932698,0.24999999999999997,0.0,0.0,0.0,0.0,0.5,Germany,19,4,0.78425,2.4210625,-0.1585384324487288
Cesare Casadei,"FW,MF",0.023629203271735788,0.2222222222222222,0.025316455696202524,0.0379746835443038,0.0,0.0,1.3558368495077358,England,20,1,0.99232,3.1293739521800283,-0.16011336485989858
Diadie Samassékou,MF,0.027567403817025105,0.1,0.043478260869565216,0.07608695652173914,0.0,0.0,1.9608695652173915,Germany,27,4,0.78425,4.170627717391305,-0.1620646839358914
Diadie Samassékou,MF,0.027567403817025105,0.1,0.043478260869565216,0.07608695652173914,0.0,0.0,1.9608695652173915,Spain,27,3,0.8173900000000001,4.178912717391304,-0.1620646839358914
Denis Suárez,"MF,FW",0.039987882459860624,0.19999999999999998,0.060150375939849614,0.09774436090225563,0.0,0.0,2.700751879699248,Spain,29,3,0.8173900000000001,4.859836221804512,-0.1695981765187195
Bebé,"MF,FW",0.06392002423508031,0.125,0.16037735849056606,0.028301886792452834,0.14166666666666666,0.0,2.287830188679245,Spain,33,3,0.8173900000000001,4.99143712264151,-0.169953237929208
El Chadaille Bitshiabu,"DF,MF",0.009996970614965128,0.0,0.1176470588235294,0.029411764705882356,0.0,0.0,1.5882352941176472,Germany,18,4,0.78425,3.0284154411764708,-0.17048397929503314
Andrea Ferraris,MF,0.002726446531354121,0.0,0.0,0.1,0.0,0.0,1.8,Italy,20,2,0.87481,3.3887025,-0.17135290903355455
Ignacio Miramon,MF,0.011511663132384164,0.0,0.05128205128205127,0.07692307692307693,0.0,0.0,1.846153846153846,France,20,5,0.6495000000000001,3.362375,-0.17276219519068814
Lovro Zvonarek,"FW,MF",0.04907603756437445,0.11111111111111112,0.08588957055214722,0.04294478527607362,0.09166666666666667,0.0,1.8232344921608723,Germany,18,4,0.78425,3.181164919904567,-0.17342389571134342
Naatan Skyttä,"MF,FW",0.03604968191457131,0.3846153846153846,0.016666666666666663,0.1,0.0,0.0,2.7192307692307693,France,21,5,0.6495000000000001,4.0298750000000005,-0.17472001952573035
Xabier Huarte Armendáriz,MF,0.002423508027870336,0.0,0.0,0.11111111111111112,0.0,0.0,2.0,Spain,22,3,0.8173900000000001,3.7043475,-0.17666302168994613
Salim El Jebari,MF,0.0036352620418055315,0.0,0.15384615384615385,0.0,0.0,0.0,1.3846153846153848,Spain,19,3,0.8173900000000001,3.0043475000000006,-0.17686099723153031
Tom Bischof,"MF,FW",0.05362011511663134,0.24999999999999997,0.02247191011235955,0.10112359550561797,0.0,0.08977777777777779,2.8254719101123595,Germany,18,4,0.78425,3.832619241573034,-0.1783013027321419
Simone Pafundi,MF,0.0021205695243865508,0.0,0.0,0.125,0.0,0.0,2.25,Italy,17,2,0.87481,3.381202500000001,-0.18137010821698268
Han-Noah Massengo,"MF,DF",0.004544077552256887,0.0,0.25,0.0,0.0,0.0,2.25,England,22,1,0.99232,3.91058,-0.18215887553067892
Saïmon Bouabré,MF,0.013329294153286875,0.0,0.08888888888888888,0.06666666666666667,0.0,0.0,2.0,France,17,5,0.6495000000000001,3.162375,-0.18232410600373264
Rabby Nzingoula,"MF,FW",0.039987882459860624,0.13333333333333333,0.0451127819548872,0.06015037593984962,0.0,0.06044444444444445,1.9593884711779448,France,17,5,0.6495000000000001,3.1359775062656645,-0.18442547899969883
Mohamed Elneny,MF,0.008179339594062418,0.0,0.07142857142857142,0.03571428571428571,0.0,0.0,1.2857142857142858,England,31,1,0.99232,4.183794285714286,-0.1845807499618295
Jovan Milošević,"FW,MF",0.008179339594062418,0.0,0.07142857142857142,0.03571428571428571,0.0,0.0,1.2857142857142858,Germany,18,4,0.78425,2.831776785714286,-0.1845807499618295
Fabian Rüdlin,MF,0.0018176310209027657,0.0,0.0,0.14285714285714285,0.0,0.0,2.571428571428572,Germany,26,4,0.78425,4.467491071428572,-0.18547853210061288
Ibrahim Cissoko,"FW,MF",0.0727052408361103,0.22222222222222215,0.17427385892116182,0.049792531120331954,0.06166666666666666,0.0328888888888889,3.057174734900876,France,20,5,0.6495000000000001,4.149538577685569,-0.18750556752086575
Julien Duranville,"FW,MF",0.0033323235383217464,0.0,0.33333333333333326,0.0,0.0,0.0,3.0,Germany,17,4,0.78425,3.8460625,-0.1900758791209857
Dennis Geiger,MF,0.0190851257194789,0.14285714285714285,0.031249999999999993,0.046875,0.0,0.0,1.4107142857142858,Germany,25,4,0.78425,3.6130267857142857,-0.1902652517367182
Pablo Galdames Millán,"MF,DF",0.0030293850348379614,0.0,0.0,0.4545454545454547,0.0,0.0,8.181818181818183,Italy,26,2,0.87481,8.136884318181819,-0.19133068929252736
Gino Caoki,MF,0.0018176310209027657,0.0,0.28571428571428564,0.0,0.0,0.0,2.571428571428572,France,19,5,0.6495000000000001,3.733803571428572,-0.19358276490144993
Filip Jagiełło,MF,0.009694032111481343,0.0,0.06060606060606061,0.060606060606060615,0.0,0.0,1.636363636363637,Italy,25,2,0.87481,3.782338863636364,-0.19406795847485736
James McConnell,MF,0.0009088155104513551,0.0,0.0,0.25000000000000006,0.0,0.0,4.5,England,18,1,0.99232,4.97308,-0.19424911329692593
Jérémy Jacquet,MF,0.0012117540139351402,0.0,0.3999999999999999,0.0,0.0,0.0,3.6,France,18,5,0.6495000000000001,4.3023750000000005,-0.196790901282745
Jérémy Jacquet,MF,0.0012117540139351402,0.0,0.3999999999999999,0.0,0.0,0.0,3.6,France,18,5,0.6495000000000001,4.3023750000000005,-0.196790901282745
Thomas Keller,MF,0.00030293850348378504,0.0,0.0,1.0,0.0,0.0,18.0,Germany,23,4,0.78425,14.196062500000002,-0.197453382407428
Alberto Perea,MF,0.00030293850348378504,0.0,0.0,1.0,0.0,0.0,18.0,Spain,32,3,0.8173900000000001,15.104347500000005,-0.197453382407428
Alberto Soro,MF,0.0021205695243865508,1.0000000000000002,0.0,0.0,0.0,0.0,2.0,Spain,24,3,0.8173900000000001,3.904347500000001,-0.19770574562361362
Samuele Di Benedetto,MF,0.0018176310209027657,1.0000000000000002,0.0,0.0,0.0,0.0,2.0,Germany,18,4,0.78425,3.2960625,-0.19799692310379916
Milutin Osmajić,MF,0.0012117540139351402,1.0000000000000002,0.0,0.0,0.0,0.0,2.0,Spain,24,3,0.8173900000000001,3.904347500000001,-0.1985791206376514
Mohamed Bouchenna,"MF,FW",0.008482278097546203,0.33333333333333326,0.0,0.034482758620689655,0.0,0.0,1.2873563218390809,France,17,5,0.6495000000000001,2.699156609195403,-0.19889916855860404
Zanos Savva,"DF,MF",0.008179339594062418,0.0,0.0,0.03571428571428571,0.535,0.0,0.963857142857143,Italy,17,2,0.87481,2.545209642857144,-0.20226985450823415
Kingstone Mutandwa,"FW,MF",0.011511663132384164,0.0,0.05128205128205127,0.0,0.385,0.0,0.6925384615384615,Italy,20,2,0.87481,2.6688525,-0.20310586543565623
Charlys,MF,0.007270524083611063,0.6666666666666667,0.0,0.04,0.0,0.0,2.0533333333333337,Italy,19,2,0.87481,3.453369166666667,-0.20324872624720963
Frank Ronstadt,"DF,MF",0.022720387761284433,0.24999999999999997,0.07894736842105263,0.02631578947368421,0.0,0.0,1.6842105263157896,Germany,26,4,0.78425,3.890799342105264,-0.20480158818357547
José Mari,"MF,FW",0.0039382005452893165,1.0000000000000002,0.0,0.07142857142857144,0.0,0.0,3.2857142857142856,Spain,35,3,0.8173900000000001,5.840061785714285,-0.21261911115456397
Hannibal Mejbri,MF,0.039987882459860624,0.33333333333333326,0.0300751879699248,0.045112781954887216,0.11333333333333333,0.0,1.81737343358396,England,20,1,0.99232,3.429372731829574,-0.21325219491140532
Hannibal Mejbri,MF,0.039987882459860624,0.33333333333333326,0.0300751879699248,0.045112781954887216,0.11333333333333333,0.0,1.81737343358396,Spain,20,3,0.8173900000000001,3.385640231829574,-0.21325219491140532
Yaya Kader Fofana,"MF,DF",0.009391093607997558,0.0,0.06249999999999998,0.09375,0.0,0.0,2.25,France,19,5,0.6495000000000001,3.524875,-0.21789800567285308
Marciano Tchami,"FW,MF",0.012723417146319305,0.19999999999999998,0.04651162790697673,0.02325581395348837,0.0,0.0,1.2372093023255817,Spain,19,3,0.8173900000000001,2.908533546511628,-0.21826626946143765
Joshua M'Bahia,MF,0.0039382005452893165,0.5,0.0,0.07142857142857144,0.0,0.0,2.2857142857142856,France,18,5,0.6495000000000001,3.448089285714285,-0.22468663865729316
João Costa,"MF,FW",0.0039382005452893165,0.5,0.0,0.07142857142857144,0.0,0.0,2.2857142857142856,Italy,18,2,0.87481,3.5044167857142856,-0.22468663865729316
Miloš Pantović,MF,0.0042411390487731015,0.0,0.1333333333333333,0.0,1.0,0.0,1.8000000000000005,Germany,27,4,0.78425,4.066062500000001,-0.22815073889140985
Christopher Lenz,"DF,MF",0.013935171160254445,0.19999999999999998,0.042553191489361694,0.0425531914893617,0.0,0.0,1.548936170212766,Germany,28,4,0.78425,4.002871010638298,-0.23046007270299979
Christopher Lenz,"DF,MF",0.013935171160254445,0.19999999999999998,0.042553191489361694,0.0425531914893617,0.0,0.0,1.548936170212766,Germany,28,4,0.78425,4.002871010638298,-0.23046007270299979
Hugo González,"MF,FW",0.02605271129960618,0.4,0.045977011494252866,0.022988505747126436,0.0,0.09155555555555556,1.936586206896552,Spain,20,3,0.8173900000000001,3.4631285344827587,-0.23217227359862874
Youssef Maziz,"FW,MF",0.037261435928506614,0.21428571428571425,0.03225806451612902,0.04838709677419355,0.12166666666666665,0.0,1.6628617511520738,France,25,5,0.6495000000000001,3.743235138248848,-0.23820014758365143
Adrien Lebeau,"MF,FW",0.01605574068464105,0.6666666666666667,0.037037037037037035,0.0,0.0,0.14844444444444446,2.167666666666667,France,24,5,0.6495000000000001,3.9713583333333338,-0.24083455962048309
Maxwel Cornet,"MF,FW",0.03362617388670103,0.33333333333333326,0.05357142857142856,0.017857142857142853,0.1333333333333333,0.0,1.5502380952380954,England,26,1,0.99232,3.8557347619047615,-0.24089610345287768
Nacho Ferri,"FW,MF",0.022114510754316863,0.125,0.0,0.02702702702702703,0.20333333333333334,0.0,0.8584864864864865,Germany,18,4,0.78425,2.554078716216216,-0.24181260732159474
Darko Brašanac,MF,0.01423810966373823,0.19999999999999998,0.08333333333333331,0.02083333333333333,0.0,0.0,1.525,Spain,31,3,0.8173900000000001,4.2955975,-0.24218269121645727
Riccardo Pagano,"MF,DF",0.015146925174189585,0.16666666666666669,0.03921568627450979,0.058823529411764705,0.0,0.0,1.7450980392156863,Italy,18,2,0.87481,3.1530162254901963,-0.24304235541905223
Genki Haraguchi,MF,0.007876401090578633,0.0,0.07407407407407404,0.11111111111111112,0.0,0.0,2.666666666666667,Germany,32,4,0.78425,5.129395833333334,-0.24398173145883217
Federico Di Francesco,"FW,MF",0.0042411390487731015,0.0,0.1333333333333333,0.06666666666666667,1.0,0.0,3.0000000000000004,Italy,29,2,0.87481,5.0687025000000006,-0.24490400328977907
Florent Muslija,"MF,FW",0.03150560436231442,0.5,0.11428571428571427,0.1238095238095238,0.0,0.0,4.257142857142857,Germany,25,4,0.78425,5.463205357142858,-0.24842500218261537
Ebenezer Akinsanmiro,MF,0.0042411390487731015,0.5,0.0,0.13333333333333336,0.0,0.0,3.4000000000000004,Italy,18,2,0.87481,4.228702500000001,-0.2489954098991786
Ayanda Sishuba,"MF,FW",0.01847924871251133,0.14285714285714285,0.22580645161290325,0.016129032258064512,0.0,0.0,2.6082949308755765,France,18,5,0.6495000000000001,3.657766705069125,-0.25134796201572823
Joseph Nonge,MF,0.006967585580127222,0.0,0.08333333333333331,0.08333333333333334,0.0,0.0,2.25,Italy,18,2,0.87481,3.4812025,-0.2528875354449997
Mikey Moore,MF,0.0009088155104513551,0.0,1.0,0.25000000000000006,0.0,0.0,13.5,England,15,1,0.99232,10.52308,-0.2530782584191016
Daouda Traoré,MF,0.004544077552256887,0.0,0.12499999999999999,0.0625,0.0,0.0,2.25,France,17,5,0.6495000000000001,3.3248750000000005,-0.25843611945489997
Marc Guiu,"FW,MF",0.022114510754316863,0.125,0.027027027027027018,0.013513513513513514,0.20333333333333334,0.0,0.8584864864864865,Spain,17,3,0.8173900000000001,2.4623637162162164,-0.26115438267049024
Nolan Mbemba,MF,0.006361708573159652,0.0,0.0,0.2272727272727273,0.6816666666666666,0.0,4.499909090909092,France,28,5,0.6495000000000001,5.88731590909091,-0.26161607938593684
Marc Casado,MF,0.0042411390487731015,0.0,0.1333333333333333,0.06666666666666667,0.0,0.0,2.4000000000000004,Spain,19,3,0.8173900000000001,3.6643475000000008,-0.2626065341005656
Abde Ezzalzouli,"FW,MF",0.020296879733414153,0.24999999999999997,0.20588235294117646,0.014705882352941166,0.0,0.0,2.61764705882353,Spain,21,3,0.8173900000000001,4.005818088235294,-0.26303624454533947
Abde Ezzalzouli,"FW,MF",0.020296879733414153,0.24999999999999997,0.20588235294117646,0.014705882352941166,0.0,0.0,2.61764705882353,Spain,21,3,0.8173900000000001,4.005818088235294,-0.26303624454533947
Lorenzo Amatucci,MF,0.006361708573159652,0.0,0.0909090909090909,0.09090909090909091,0.0,0.0,2.4545454545454546,Italy,19,2,0.87481,3.7141570454545456,-0.26312061980518464
Paxten Aaronson,MF,0.03029385034837928,0.09090909090909091,0.0396039603960396,0.049504950495049514,0.0,0.0791111111111111,1.6963429342934295,Germany,19,4,0.78425,3.1986854072907294,-0.2645783268462069
